"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1949","Calender handling","chromium","Tue Apr 22 11:12:56 IST 2025","passed","Tue Apr 22 11:12:58 IST 2025","","CalenderHandling.spec.js","",""
"","1","E2E test","chromium","Tue Apr 22 11:12:56 IST 2025","skipped","Tue Apr 22 11:12:56 IST 2025","","E2ETest.spec.js","",""
"","10336","@smoke Product purchase","chromium","Tue Apr 22 11:12:56 IST 2025","passed","Tue Apr 22 11:13:06 IST 2025","","PageObjectE2ETest.spec.js","",""
"","2598","Child windows handling","chromium","Tue Apr 22 11:12:56 IST 2025","passed","Tue Apr 22 11:12:59 IST 2025","","ChildWindowsHandling.spec.js","",""
"","3827","Registeration of the user","chrome","Tue Apr 22 10:37:54 IST 2025","passed","Tue Apr 22 10:37:58 IST 2025","","Assignment1.spec.js","",""
"","0","Product purchase of ZARA COAT 3","chrome","Tue Apr 22 10:37:58 IST 2025","skipped","Tue Apr 22 10:37:58 IST 2025","","ParameterisationPageObject.spec.js","",""
"","10710","@smoke Product purchase","chrome","Tue Apr 22 10:37:54 IST 2025","passed","Tue Apr 22 10:38:05 IST 2025","","PageObjectE2ETest.spec.js","",""
"","40221","Registeration of the user","chromium","Tue Apr 22 11:12:56 IST 2025","broken","Tue Apr 22 11:13:36 IST 2025","","Assignment1.spec.js","",""
"","4466","First Playwright test","chromium","Tue Apr 22 11:12:59 IST 2025","passed","Tue Apr 22 11:13:03 IST 2025","","UIBasicstest.spec.js","",""
"","2563","Child windows handling","chrome","Tue Apr 22 10:37:54 IST 2025","passed","Tue Apr 22 10:37:57 IST 2025","","ChildWindowsHandling.spec.js","",""
"","2184","Login","chromium","Tue Apr 22 11:13:37 IST 2025","passed","Tue Apr 22 11:13:39 IST 2025","","Assignment1.spec.js","",""
"","5979","First Playwright test","chrome","Tue Apr 22 10:38:03 IST 2025","passed","Tue Apr 22 10:38:09 IST 2025","","UIBasicstest.spec.js","",""
"","1","E2E test","chrome","Tue Apr 22 10:37:54 IST 2025","skipped","Tue Apr 22 10:37:54 IST 2025","","E2ETest.spec.js","",""
"","1789","PlayWright Special Locator test","chromium","Tue Apr 22 11:12:58 IST 2025","passed","Tue Apr 22 11:13:00 IST 2025","","PWSpecialLocator.spec.js","",""
"","18943","Calender handling","chrome","Tue Apr 22 10:37:54 IST 2025","passed","Tue Apr 22 10:38:13 IST 2025","","CalenderHandling.spec.js","",""
"","0","Product purchase of IPHONE 13 PRO","chromium","Tue Apr 22 11:12:58 IST 2025","skipped","Tue Apr 22 11:12:58 IST 2025","","ParameterisationPageObject.spec.js","",""
"","3681","Login","chrome","Tue Apr 22 10:37:59 IST 2025","passed","Tue Apr 22 10:38:03 IST 2025","","Assignment1.spec.js","",""
"","2","Product purchase of IPHONE 13 PRO","chrome","Tue Apr 22 10:37:58 IST 2025","skipped","Tue Apr 22 10:37:58 IST 2025","","ParameterisationPageObject.spec.js","",""
"","14865","PlayWright Special Locator test","chrome","Tue Apr 22 10:37:58 IST 2025","passed","Tue Apr 22 10:38:13 IST 2025","","PWSpecialLocator.spec.js","",""
"","1","Product purchase of ZARA COAT 3","chromium","Tue Apr 22 11:12:58 IST 2025","skipped","Tue Apr 22 11:12:58 IST 2025","","ParameterisationPageObject.spec.js","",""
